SMILES,P(active),stereo_SMILES
C1[C@H](NCC1(F)F)C(=O)O,0.002276961291658042,C1[C@H](NCC1(F)F)C(=O)O
C=CC1=CC=C(CN)C=C1,0.25169908600890556,C=CC1=CC=C(CN)C=C1
C=CCC(O)(CN)CC=C,0.028705882352941175,C=CCC(O)(CN)CC=C
C=CCCN,0.01914441030489246,C=CCCN
CC(=O)NC1=CC=CC(CN)=C1,0.05235726131248519,CC(=O)NC1=CC=CC(CN)=C1
CC(=O)NCC(C)CN,0.015775841770661644,C[C@H](CN)CNC(=O)C
CC(=O)NCCN,0.05498839907192576,CC(=O)NCCN
CC(=O)Nc1ccc(cc1)C[C@@H](C(=O)O)N,0.0,CC(=O)Nc1ccc(cc1)C[C@@H](C(=O)O)N
CC(C(=O)O)N,0.0018629683295383979,C[C@@H](C(=O)O)N
CC(C)(C)C(C(=O)O)N,8.577800651912849e-05,CC(C)(C)[C@H](C(=O)O)N
CC(C)(C)C1=CSC(CN)=N1,0.29054197662061637,CC(C)(C)C1=CSC(CN)=N1
CC(C)(C)C1=NOC(CN)=N1,0.07396937573616019,CC(C)(C)C1=NOC(CN)=N1
CC(C)(C)OCCNCC(=O)O,0.002927400468384075,CC(C)(C)OCCNCC(=O)O
CC(C)(C)OC[C@@H](C(=O)O)N,0.0025605672641323615,CC(C)(C)OC[C@@H](C(=O)O)N
CC(C)(C)Oc1ccc(cc1)C[C@@H](C(=O)O)N,0.031198686371100164,CC(C)(C)Oc1ccc(cc1)C[C@@H](C(=O)O)N
CC(C)(C)Oc1ccc(cc1)C[C@H](C(=O)O)N,0.03897900163460329,CC(C)(C)Oc1ccc(cc1)C[C@H](C(=O)O)N
CC(C)(C)[C@@H](C(=O)O)N,0.012741558717349756,CC(C)(C)[C@@H](C(=O)O)N
CC(C)(C)[C@H](C(=O)O)N,0.004679019277559424,CC(C)(C)[C@H](C(=O)O)N
CC(C)(CCN)C(=O)O,0.0014300572022880914,CC(C)(CCN)C(=O)O
CC(C)(CN)CO,0.2006980802792321,CC(C)(CN)CO
CC(C)([C@@H](C(=O)O)N)O,0.0,CC(C)([C@@H](C(=O)O)N)O
CC(C)C(C(=O)O)N,8.479606546256254e-05,CC(C)[C@@H](C(=O)O)N
CC(C)C1=NC(CN)=NO1,0.04776689754000478,CC(C)C1=NC(CN)=NO1
CC(C)C1=NOC(CN)=N1,0.036080074487895714,CC(C)C1=NOC(CN)=N1
CC(C)CC(CC(=O)O)CN,0.005566470203012442,CC(C)C[C@H](CC(=O)O)CN
CC(C)CC(CC(=O)O)N,0.0001789709172259508,CC(C)C[C@H](CC(=O)O)N
CC(C)CC(c1nc(cs1)C(=O)O)N,0.007888509071785432,CC(C)C[C@H](c1nc(cs1)C(=O)O)N
CC(C)CC1=NOC(CN)=C1,0.23658536585365852,CC(C)CC1=NOC(CN)=C1
CC(C)CCCCCN,0.11264822134387352,CC(C)CCCCCN
CC(C)CCN,0.03574788334901223,CC(C)CCN
CC(C)CC[C@@H](C(=O)O)N,0.004934834872833102,CC(C)CC[C@@H](C(=O)O)N
CC(C)CC[C@H](C(=O)O)N,0.023575235752357523,CC(C)CC[C@H](C(=O)O)N
CC(C)COCCCN,0.09156452775775054,CC(C)COCCCN
CC(C)C[C@@H](C(=O)O)N,0.0019456473984811398,CC(C)C[C@@H](C(=O)O)N
CC(C)C[C@@H](C(=O)O)NC,0.00813927198733891,CC(C)C[C@@H](C(=O)O)NC
CC(C)C[C@@H](CC(=O)O)CN,0.004547521600727604,CC(C)C[C@@H](CC(=O)O)CN
CC(C)C[C@@H](c1nc(co1)C(=O)O)N,0.002808621815806662,CC(C)C[C@@H](c1nc(co1)C(=O)O)N
CC(C)C[C@H](C(=O)O)N,0.001957441434615142,CC(C)C[C@H](C(=O)O)N
CC(C)N(CCN)C(C)C,0.035257184255010864,CC(C)N(CCN)C(C)C
CC(C)N1CCC(CCN)CC1,0.0011773016246762421,CC(C)N1CCC(CCN)CC1
CC(C)N1CCC(CN)C1,0.013598834385624089,CC(C)N1CC[C@@H](C1)CN
CC(C)N1CCCC(CN)C1,0.0009794319294809011,CC(C)N1CCC[C@H](C1)CN
CC(C)NC(=O)CN,0.01616254906488109,CC(C)NC(=O)CN
CC(C)OCCCN,0.056848811565792697,CC(C)OCCCN
CC(C)[C@@H](C(=O)O)N,0.008177643580549789,CC(C)[C@@H](C(=O)O)N
CC(C)[C@@H](CC(=O)O)N,0.003497222793663855,CC(C)[C@@H](CC(=O)O)N
CC(C)[C@@H](CCC(=O)O)N,0.0,CC(C)[C@@H](CCC(=O)O)N
CC(C)[C@H](C(=O)O)N,0.0029020251088259417,CC(C)[C@H](C(=O)O)N
CC(C)c1ccc(cc1)C(CC(=O)O)N,0.0,CC(C)c1ccc(cc1)[C@H](CC(=O)O)N
CC(CC(=O)O)N,0.0024630541871921183,C[C@@H](CC(=O)O)N
CC(CCN)N(C)C,0.009910335063709298,C[C@@H](CCN)N(C)C
CC(CN)N(C)C,0.007283834586466165,C[C@H](CN)N(C)C
CC(CN)N1CCCC1,0.002363507445048452,C[C@H](CN)N1CCCC1
CC(CN)N1CCCCC1,0.0030696576151121604,C[C@@H](CN)N1CCCCC1
CC(CN)OC1=CC=CC=C1,0.09637976504435387,C[C@@H](CN)Oc1ccccc1
CC(F)(F)CN,0.01342123852130916,CC(F)(F)CN
CC(N)CN1CCCCC1,0.011119168479574571,C[C@H](CN1CCCCC1)N
CC(N)CN1CCN(C)CC1,0.011235955056179775,C[C@@H](CN1CCN(CC1)C)N
CC1(CCCNC1)C(=O)O,0.007085498346717053,C[C@]1(CCCNC1)C(=O)O
CC1(CCNC1C(=O)O)C,0.0028155795401220087,CC1(CCN[C@H]1C(=O)O)C
CC1(CCNCC1)C(=O)O,0.024660633484162895,CC1(CCNCC1)C(=O)O
CC1=C(C(CN)N(C)C)C=CC=C1,0.02374794262873266,Cc1ccccc1[C@H](CN)N(C)C
CC1=C(CN)C=C(F)C=C1,0.06371849738468854,CC1=C(CN)C=C(F)C=C1
CC1=C(CN)C=CC(F)=C1,0.05242030696576151,CC1=C(CN)C=CC(F)=C1
CC1=C(CN)C=CC=C1,0.060871682493304116,CC1=C(CN)C=CC=C1
CC1=C(CN)C=NN1C,0.02215935879302216,CC1=C(CN)C=NN1C
CC1=C(CN)N=CC=N1,0.004617871161394597,CC1=C(CN)N=CC=N1
CC1=C(CN)OC(C2=CC=CC=C2)=N1,0.11509303928325293,CC1=C(CN)OC(C2=CC=CC=C2)=N1
CC1=C(CN)SC(C2=CC=CC=C2)=N1,0.35674822415153906,CC1=C(CN)SC(C2=CC=CC=C2)=N1
CC1=C(CN)SC=C1,0.07025591501690005,CC1=C(CN)SC=C1
CC1=C(F)C=C(CN)C=C1,0.14912908613696016,CC1=C(F)C=C(CN)C=C1
CC1=C(F)C=CC(CN)=C1F,0.08092892329345532,CC1=C(F)C=CC(CN)=C1F
CC1=C(NC(=O)CN)C=CC=C1,0.05812324929971989,CC1=C(NC(=O)CN)C=CC=C1
CC1=C(OCCN)C=CC=C1,0.08470926058865758,CC1=C(OCCN)C=CC=C1
CC1=CC(C(F)(F)F)=NN1CCN,0.03351300679634404,CC1=CC(C(F)(F)F)=NN1CCN
CC1=CC(C)=C(CN)C(=O)[NH]1,0.01732018282415203,CC1=CC(C)=C(CN)C(=O)[NH]1
CC1=CC(C)=NC(CN)=N1,0.012287334593572778,CC1=CC(C)=NC(CN)=N1
CC1=CC(CCN)=C(C)C=C1,0.07434106780806488,CC1=CC(CCN)=C(C)C=C1
CC1=CC(CN)=C(C(F)(F)F)C=C1,0.13004484304932734,CC1=CC(CN)=C(C(F)(F)F)C=C1
CC1=CC2=C(C=CC=C2)N1CCN,0.05292278085157565,CC1=CC2=C(C=CC=C2)N1CCN
CC1=CC=C(C(CN)N(C)C)O1,0.012099644128113879,Cc1ccc(o1)[C@@H](CN)N(C)C
CC1=CC=C(CN)C=C1,0.09476427386875148,CC1=CC=C(CN)C=C1
CC1=CC=C(CN)S1,0.06501980890235376,CC1=CC=C(CN)S1
CC1=CC=C(S(=O)(=O)CCN)C=C1,0.0706880301602262,CC1=CC=C(S(=O)(=O)CCN)C=C1
CC1=CC=CC(C(CN)N2CCOCC2)=C1,0.03587658454915092,Cc1cccc(c1)[C@@H](CN)N2CCOCC2
CC1=CC=CC(CC(C)N)=N1,0.016674495068107094,Cc1cccc(n1)C[C@@H](C)N
CC1=CC=CC(CN)=C1,0.07028678890456042,CC1=CC=CC(CN)=C1
CC1=CC=CC(NC(=O)CN)=C1C,0.045476190476190476,CC1=CC=CC(NC(=O)CN)=C1C
CC1=CC=CC(OCCCN)=C1,0.03678051110580368,CC1=CC=CC(OCCCN)=C1
CC1=CN2C=C(CN)N=C2C=C1,0.0461429247515381,CC1=CN2C=C(CN)N=C2C=C1
CC1=CN=C(C(=O)NCCCN)C=N1,0.037803138373751786,CC1=CN=C(C(=O)NCCCN)C=N1
CC1=CN=C(CN)C=C1,0.03161868806040585,CC1=CN=C(CN)C=C1
CC1=CSC(CN)=C1,0.08621960206337509,CC1=CSC(CN)=C1
CC1=NC(C)=C(CN)S1,0.040137614678899085,CC1=NC(C)=C(CN)S1
CC1=NC(CN)=C(F)C=C1,0.0361247947454844,CC1=NC(CN)=C(F)C=C1
CC1=NC(CN)=NC(C(F)(F)F)=C1,0.04975961538461538,CC1=NC(CN)=NC(C(F)(F)F)=C1
CC1=NC=C(CN)C=C1,0.03635100717758741,CC1=NC=C(CN)C=C1
CC1=NC=CC(CN)=C1,0.023255813953488372,CC1=NC=CC(CN)=C1
CC1=NC=CN1CCN,0.008,CC1=NC=CN1CCN
CC1=NN(C)C(C)=C1CN,0.02818955042527339,CC1=NN(C)C(C)=C1CN
CC1=NN(C)C=C1CN,0.02336558886004248,CC1=NN(C)C=C1CN
